,Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Latitude,Longitude,Company Name,Regional or National,marker-color
442,5330-5420 Angola Rd,,Industrial,3.0,,,C,Existing,52061.0,,$4.06 - 4.96 (Est.),Truck Terminal,"Toledo, OH",South/Southwest,,,South/Southwest,Toledo,OH,43615-6378,Lucas,,,,N,,,100.0,1987.0,,52061.0,4.41,Single,03/16/2016,39095C0068F,39095C,0068F,No,100-year and 500-year Floodplain,41.625745,-83.669043,Estes Express Lines,National,grey
443,1504 Appalachee St,Estes Express Lines,Industrial,2.0,,,C,Existing,58330.0,,$6.42 - 7.84 (Est.),Truck Terminal,"Birmingham, AL",Fultondale,,,North Jefferson County,Birmingham,AL,35234,Jefferson,,,,N,,,100.0,1953.0,,58330.0,1.29,Single,03/21/2019,01073C0391H,01073C,0391H,Yes,100-year Floodplain,33.546308,-86.78706,Estes Express Lines,National,grey
444,8233 Belvedere Ave,,Industrial,2.0,,,C,Existing,12000.0,12000.0,$20.03 - 24.48 (Est.),Truck Terminal,"Sacramento, CA",Power Inn,TFI International Inc,Didier Le Manac'h,Sacramento County,Sacramento,CA,95826-4713,Sacramento,TFI International Inc,Didier Le Manac'h,,Y,2022-08-03 00:00:00,5800000.0,0.0,1981.0,,12000.0,2.0,Multi,08/16/2012,06067C0195H,06067C,0195H,No,100-year and 500-year Floodplain,38.538494,-121.403381,Estes Express Lines,National,grey
445,143 Blaine St,,Industrial,2.0,,,C,Existing,18400.0,,$8.42 - 10.29 (Est.),Truck Terminal,"Chicago, IL",Indiana,,,Indiana,Gary,IN,46406-1245,Lake,,,,N,2024-12-09 00:00:00,1925000.0,100.0,1994.0,,18400.0,,Single,01/18/2012,18089C0131E,18089C,0131E,No,100-year and 500-year Floodplain,41.6091301,-87.4271527,Estes Express Lines,National,grey
446,215 Bodwell St,"Roadway Express, Inc.",Industrial,2.0,,,C,Existing,34489.0,,$16.98 - 20.75 (Est.),Truck Terminal,"Boston, MA",Route 24,,,Route 128 South,Avon,MA,02322-1148,Norfolk,,,,N,2009-07-06 00:00:00,2900000.0,100.0,1969.0,,34489.0,2.81,Single,07/17/2012,25021C0218E,25021C,0218E,No,100-year and 500-year Floodplain,42.1349503,-71.0583356,Estes Express Lines,National,grey
447,116 Brickyard Rd,,Industrial,2.0,,,C,Existing,16393.0,,$10.26 - 12.54 (Est.),Truck Terminal,"Columbia, SC",Lexington,,,Lexington,Lexington,SC,29072,Lexington,,,,N,2022-01-26 00:00:00,608600.0,100.0,,,16393.0,1.1,Single,07/05/2018,45063C0252J,45063C,0252J,No,100-year and 500-year Floodplain,33.9775147,-81.1987801,Estes Express Lines,National,grey
448,5414 Broadway Ave,,Industrial,2.0,,,C,Existing,17403.0,,$16.34 - 19.97 (Est.),Truck Terminal,"Jacksonville, FL",West Side,Estes Express Lines,,West Side,Jacksonville,FL,32254-2951,Duval,,,,N,,,100.0,1973.0,,17403.0,2.08,Single,06/03/2013,12031C0353H,12031C,0353H,No,100-year and 500-year Floodplain,30.331625,-81.740023,Estes Express Lines,National,grey
449,7400 N Broadway,,Industrial,2.0,,,C,Existing,102400.0,,$8.41 - 10.28 (Est.),Truck Terminal,"Saint Louis, MO",St Louis City North,,,St Louis City,Saint Louis,MO,63147-2628,St. Louis City,,,,N,2024-10-17 00:00:00,5200000.0,100.0,1912.0,,102400.0,,Single,05/24/2011,2903850053C,290385,0053C,No,100-year and 500-year Floodplain,38.6995067,-90.2277274,Estes Express Lines,National,grey
450,650 Carlson Ct,Estes Express Lines,Industrial,1.0,,,C,Existing,5200.0,,$13.31 - 16.26 (Est.),Truck Terminal,"Santa Rosa, CA",Santa Rosa,,,Santa Rosa,Rohnert Park,CA,94928,Sonoma,,,,N,2011-04-15 00:00:00,521533.0,100.0,1984.0,,5200.0,3.29,Single,12/02/2008,06097C0876E,06097C,0876E,No,100-year and 500-year Floodplain,38.353563,-122.723463,Estes Express Lines,National,grey
451,3344 Cazassa Rd,,Industrial,2.0,,,C,Existing,23591.0,,$6.02 - 7.35 (Est.),Truck Terminal,"Memphis, TN",Southwest,,,Southwest,Memphis,TN,38116,Shelby,,,,N,2017-03-28 00:00:00,2350000.0,100.0,1968.0,,23591.0,,Single,05/03/2011,05035C0475E,47157C,0475E,Yes,100-year Floodplain,35.056771,-90.001082,Estes Express Lines,National,grey
452,38495 Center Ridge Rd,,Industrial,3.0,,,B,Existing,61000.0,,$5.29 - 6.31 (Est.),Truck Terminal,"Cleveland, OH",Lorain/Avon Lake,,,West,North Ridgeville,OH,44039-2833,Lorain,,,,N,,,100.0,1985.0,,61000.0,,Single,08/19/2008,39093C0143D,39093C,0143D,Yes,100-year Floodplain,41.3830168,-82.0538285,Estes Express Lines,National,grey
453,1100 Chaddick Dr,,Industrial,2.0,,,B,Existing,42724.0,,$7.50 - 9.17 (Est.),Truck Terminal,"Chicago, IL",North Cook,,,North Cook,Wheeling,IL,60090,Cook,,,,N,2024-02-01 00:00:00,14849656.0,100.0,1970.0,,42724.0,1.87,Single,08/19/2008,17031C0206J,17031C,0206J,No,100-year and 500-year Floodplain,42.117998,-87.916326,Estes Express Lines,National,grey
454,34 Chapin Rd,YRC,Industrial,3.0,,,B,Existing,50000.0,,$11.87 - 14.50 (Est.),Truck Terminal,"Northern New Jersey, NJ",Eastern Morris,,,Eastern Morris,Pine Brook,NJ,07058-9718,Morris,,,,N,2009-04-29 00:00:00,5250000.0,100.0,1989.0,,46500.0,1.61,Single,,,,,No,,40.855562,-74.333858,Estes Express Lines,National,grey
455,10736 Cherry Ave,,Industrial,2.0,,,B,Existing,27640.0,,$13.64 - 16.67 (Est.),Truck Terminal,"Inland Empire, CA",Airport Area,GI Trucking Company,Angela Maidment,Inland Empire West,Fontana,CA,92337-7196,San Bernardino,,,,N,2003-12-23 00:00:00,996500.0,100.0,1990.0,,27640.0,3.55,Single,08/28/2008,06065C0036G,06071C,0036G,No,100-year and 500-year Floodplain,34.0587974,-117.4900341,Estes Express Lines,National,grey
456,4355 S Chestnut Ave,,Industrial,2.0,,,C,Existing,13000.0,,$5.91 - 7.22 (Est.),Truck Terminal,"Fresno, CA",S Fresno/Hwy 99 Corr,,,Fresno County,Fresno,CA,93725,Fresno,,,,N,2008-08-25 00:00:00,1500000.0,100.0,1989.0,,13000.0,3.0,Single,02/18/2009,06019C2140H,06019C,2140H,No,100-year and 500-year Floodplain,36.6714775,-119.7385576,Estes Express Lines,National,grey
457,4575 S Chestnut Ave,,Industrial,2.0,,,C,Existing,5790.0,,$7.68 - 9.38 (Est.),Truck Terminal,"Fresno, CA",S Fresno/Hwy 99 Corr,,,Fresno County,Fresno,CA,93725-9211,Fresno,,,,N,2022-03-03 00:00:00,3191500.0,100.0,1974.0,,5790.0,3.0,Single,02/18/2009,06019C2140H,06019C,2140H,No,100-year and 500-year Floodplain,36.6678096,-119.739949,Estes Express Lines,National,grey
458,5550 Cleveland Rd,USF Holland,Industrial,3.0,,,C,Existing,58827.0,,$5.82 - 6.07 (Est.),Truck Terminal,"South Bend, IN",Greater South Bend,,,Greater South Bend,South Bend,IN,46628-9707,St Joseph,,,,N,,,100.0,2004.0,,58827.0,1.7,Single,01/06/2011,18141C0177D,18141C,0177D,No,100-year and 500-year Floodplain,41.7324045,-86.3280977,Estes Express Lines,National,grey
459,4600 Clyde Park Ave SW,USF Holland,Industrial,3.0,,,C,Existing,56440.0,,$6.28 - 7.68 (Est.),Truck Terminal,"Grand Rapids, MI",Southwestern Grand Rapids,,,Kent County,Grand Rapids,MI,49509,Kent,,,,N,2015-07-01 00:00:00,2000000.0,100.0,1970.0,,56440.0,2.87,Single,,,,,No,,42.880212,-85.682886,Estes Express Lines,National,grey
460,747 Commerce Pky,,Industrial,3.0,,,C,Existing,62420.0,,$6.53 - 7.98 (Est.),Truck Terminal,"Indianapolis, IN",Johnson County,,,Far South Counties,Greenwood,IN,46143,Johnson,,,,N,,,100.0,1999.0,,62420.0,0.64,Single,08/02/2007,18081C0135D,18081C,0135D,No,100-year and 500-year Floodplain,39.6072532,-86.0565667,Estes Express Lines,National,grey
461,1200 Commerce Rd,Estes,Industrial,2.0,,,C,Existing,57000.0,,$6.84 - 8.35 (Est.),Truck Terminal,"Richmond, VA",Jeff Davis Corridor,,,Southwest,Richmond,VA,23224,Richmond City,,,,N,,,100.0,1954.0,,57000.0,0.52,Single,07/16/2014,5101290043D,510129,0043D,No,100-year and 500-year Floodplain,37.513048,-77.431318,Estes Express Lines,National,grey
462,19 Cote Ln,,Industrial,2.0,,,C,Existing,12874.0,,$8.32 - 10.17 (Est.),Truck Terminal,"Manchester, NH",Hillsborough,,,Manchester/Nashua,Bedford,NH,03110,Hillsborough,,,,N,2024-02-01 00:00:00,3502215.0,100.0,1979.0,,12874.0,5.83,Single,09/25/2009,33011C0357D,33011C,0357D,Yes,100-year Floodplain,42.9717143,-71.5066755,Estes Express Lines,National,grey
463,200 N Dunbarton Dr,,Industrial,2.0,,,C,Existing,39075.0,,$7.00 - 7.63 (Est.),Truck Terminal,"Florence, SC",Florence/Dillon,TFI International Inc,Gianni Mastro,South Carolina Area,Florence,SC,29501,Florence,,,,N,2023-07-06 00:00:00,3575000.0,100.0,1990.0,,39075.0,5.12,Single,12/16/2014,45041C0129E,45041C,0129E,No,100-year and 500-year Floodplain,34.1968267,-79.8364536,Estes Express Lines,National,grey
464,2 Dunham Rd,,Industrial,2.0,,,C,Existing,29605.0,,$11.38 - 13.91 (Est.),Truck Terminal,"Boston, MA",Lowell/Chelmsford,,,Route 3 North,Billerica,MA,01821-5727,Middlesex,,,,N,2005-03-01 00:00:00,4200000.0,100.0,1980.0,,29605.0,5.07,Single,07/06/2016,25017C0288F,25017C,0288F,Yes,100-year Floodplain,42.521002,-71.237652,Estes Express Lines,National,grey
465,6125 Duquesne Dr SW,,Industrial,2.0,,,C,Existing,22250.0,,$7.96 - 9.73 (Est.),Truck Terminal,"Atlanta, GA",Fulton District,,,I-20 W/Fulton District,Atlanta,GA,30336-2832,Fulton,,,,N,2015-06-03 00:00:00,2800000.0,100.0,1987.0,,22250.0,5.03,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,33.7152628,-84.5963774,Estes Express Lines,National,grey
466,700 N Eckhoff St,,Industrial,2.0,,,C,Existing,32065.0,,$12.14 - 14.84 (Est.),Truck Terminal,"Orange County, CA",Orange,,,North County,Orange,CA,92868-1006,Orange,,,,N,2018-08-22 00:00:00,,100.0,1979.0,,32065.0,3.46,Single,12/03/2009,06059C0142J,06059C,0142J,No,100-year and 500-year Floodplain,33.79819,-117.875237,Estes Express Lines,National,grey
467,4724 Elm City Rd S,,Industrial,3.0,,,C,Existing,1518.0,,$5.84 - 7.14 (Est.),Truck Terminal,,Rocky Mount/Wilson,,,North Carolina East,Elm City,NC,27822-8109,Wilson,,,,N,2025-03-04 00:00:00,2000000.0,100.0,1998.0,,1518.0,16.47,Single,11/03/2004,3720373400J,37195C,3734J,No,100-year and 500-year Floodplain,35.7857937,-77.8595347,Estes Express Lines,National,grey
468,6295 Executive Blvd,,Industrial,2.0,,,B,Existing,18525.0,,$7.13 - 8.71 (Est.),Truck Terminal,"Dayton, OH",Northeast Cent Dayton,,,Northeast Cent Dayton,Huber Heights,OH,45424-1439,Montgomery,,,,N,2011-08-17 00:00:00,480000.0,100.0,1978.0,1995.0,18525.0,2.7,Single,03/17/2011,39057C0005D,39113C,0005D,No,100-year and 500-year Floodplain,39.871581,-84.120689,Estes Express Lines,National,grey
469,7378 Expressway Ct SW,Estes Express Lines,Industrial,2.0,,,C,Existing,9634.0,,$14.20 - 17.36 (Est.),Truck Terminal,"Grand Rapids, MI",Byron/Gaines,Estes Express Lines,,Kent County,Grand Rapids,MI,49548,Kent,,,,N,2017-12-20 00:00:00,,100.0,,,9634.0,1.11,Single,,,,,No,,42.830792,-85.668058,Estes Express Lines,National,grey
470,1009 Frank Rd,,Industrial,3.0,,,C,Existing,91182.0,,$10.06 - 12.30 (Est.),Truck Terminal,"Columbus, OH",SW Columbus,,,Southwest,Columbus,OH,43223-3858,Franklin,,,,N,,,100.0,1980.0,,91182.0,5.5,Single,06/17/2008,39049C0316K,39049C,0316K,No,100-year and 500-year Floodplain,39.913989,-83.03237,Estes Express Lines,National,grey
471,1553 Frank Rd,,Industrial,2.0,,,C,Existing,17527.0,,$12.42 - 15.17 (Est.),Truck Terminal,"Columbus, OH",SW Columbus,,,Southwest,Columbus,OH,43223-3737,Franklin,,,,N,2021-01-12 00:00:00,2917000.0,100.0,1963.0,,17527.0,2.8,Single,06/17/2008,39049C0316K,39049C,0316K,No,100-year and 500-year Floodplain,39.9175574,-83.0445458,Estes Express Lines,National,grey
472,1400 N Frost Ave,,Industrial,2.0,,,C,Existing,15850.0,,$8.04 - 9.83 (Est.),Truck Terminal,"Omaha, NE",E Pottawattamie County,,,E Pottawattamie County,Avoca,IA,51521,Pottawattamie,,,,N,2008-01-17 00:00:00,879000.0,100.0,1981.0,,15850.0,,Single,04/16/2013,19155C0327F,19155C,0327F,Yes,100-year Floodplain,41.489864,-95.3421998,Estes Express Lines,National,grey
473,423-427 Gembler Rd,,Industrial,2.0,,,C,Existing,17438.0,,$9.20 - 11.24 (Est.),Truck Terminal,"San Antonio, TX",Northeast,,,Northeast,San Antonio,TX,78219,Bexar,,,,N,2009-04-23 00:00:00,,100.0,1970.0,,17438.0,10.0,Single,09/29/2010,48029C0420G,48029C,0420G,No,100-year and 500-year Floodplain,29.436319,-98.426421,Estes Express Lines,National,grey
474,2575 General Armistead Ave,,Industrial,2.0,,,B,Existing,23230.0,,$10.62 - 12.98 (Est.),Truck Terminal,"Philadelphia, PA",East Montgomery Cty,,,Suburban Philadelphia,Norristown,PA,19403-5213,Montgomery,,,,N,2015-03-30 00:00:00,2500000.0,100.0,1992.0,,,3.27,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,40.1209446,-75.3961513,Estes Express Lines,National,grey
475,4570 Getwell Rd,,Industrial,2.0,,,C,Existing,24151.0,,$8.69 - 10.00 (Est.),Truck Terminal,"Memphis, TN",Southeast,,,Southeast,Memphis,TN,38118,Shelby,,,,N,2017-03-30 00:00:00,725000.0,100.0,1972.0,,24151.0,1.24,Single,09/28/2007,47157C0445F,47157C,0445F,No,100-year and 500-year Floodplain,35.0237671,-89.9360776,Estes Express Lines,National,grey
476,25 Hampshire Rd,Estes Express Lines,Industrial,2.0,,,C,Existing,13872.0,,$8.69 - 10.62 (Est.),Truck Terminal,"Boston, MA",Lawrence/Andover,,,Route 495 North East,Methuen,MA,01844-1112,Essex,,,,N,1998-09-09 00:00:00,750800.0,100.0,1979.0,,13872.0,4.67,Single,07/03/2012,25009C0202F,25009C,0202F,Yes,100-year Floodplain,42.7417283,-71.2053508,Estes Express Lines,National,grey
477,6360 E Hanna Ave,,Industrial,2.0,,,C,Existing,20259.0,,$10.49 - 12.82 (Est.),Truck Terminal,"Tampa, FL",East Side,Estes Express Lines,,East Hillsborough,Tampa,FL,33610-4012,Hillsborough,,,,N,,,100.0,1986.0,,20259.0,4.94,Single,08/28/2008,12057C0219H,12057C,0219H,No,100-year and 500-year Floodplain,28.004399,-82.383602,Estes Express Lines,National,grey
478,17 Hannay Ln,,Industrial,2.0,,,B,Existing,22825.0,,$6.83 - 8.35 (Est.),Truck Terminal,"Albany, NY",W Outer Albany County,,,W Outer Albany County,Glenmont,NY,12077,Albany,,,,N,,,100.0,1976.0,,22825.0,6.13,Single,03/16/2015,36001C0306D,36001C,0306D,No,100-year and 500-year Floodplain,42.6215738,-73.7825848,Estes Express Lines,National,grey
479,4119 Harbour Pointe Blvd SW,Roadway Express Truck Terminal,Industrial,1.0,,,C,Existing,5120.0,,$10.76 - 13.16 (Est.),Truck Terminal,"Seattle, WA",S Everett/Harbor Pt,JLL,Scott Carter,Northend,Mukilteo,WA,98275-5409,Snohomish,,,,N,2021-01-04 00:00:00,3275561.0,100.0,1986.0,,5120.0,9.77,Single,06/19/2020,53061C1020F,53061C,1020F,No,100-year and 500-year Floodplain,47.8889675,-122.2894218,Estes Express Lines,National,grey
480,9911 Harrison St,,Industrial,2.0,,,B,Existing,49904.0,,$6.22 - 7.60 (Est.),Truck Terminal,"Detroit, MI",Airport District,,,Airport/I-275,Romulus,MI,48174,Wayne,,,,N,2024-09-13 00:00:00,,100.0,,,49904.0,0.7,Single,12/03/2013,26163C0377F,26163C,0377F,No,100-year and 500-year Floodplain,42.2328164,-83.315006,Estes Express Lines,National,grey
481,539 Hartford Tpke,,Industrial,2.0,,,C,Existing,20492.0,,$11.13 - 13.60 (Est.),Truck Terminal,"Worcester, MA",The Boroughs,,,Worcester,Shrewsbury,MA,01545,Worcester,,,,N,2009-05-29 00:00:00,2800000.0,100.0,1976.0,,20492.0,4.83,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,42.2594565,-71.7007656,Estes Express Lines,National,grey
482,2401 N Harvard Ave,Chief Truck Terminal,Industrial,2.0,,,B,Existing,77360.0,,$7.33 - 8.96 (Est.),Truck Terminal,"Tulsa, OK",Northeast Tulsa,,,Northeast Tulsa,Tulsa,OK,74115,Tulsa,,,,N,2008-01-31 00:00:00,1700000.0,100.0,1972.0,,77360.0,1.1,Single,10/16/2012,40143C0229L,40143C,0229L,No,100-year and 500-year Floodplain,36.189677,-95.938808,Estes Express Lines,National,grey
483,1855 S Highway 14,,Industrial,2.0,,,C,Existing,13015.0,,$7.13 - 7.17 (Est.),Truck Terminal,"Greenville, SC",Rt 14 Corridor,,,Greenville,Greer,SC,29650-4729,Greenville,,,,N,,,100.0,,,13015.0,8.76,Single,08/18/2014,45045C0363E,45045C,0363E,Yes,100-year Floodplain,34.900228,-82.234698,Estes Express Lines,National,grey
484,400 Holland St,,Industrial,2.0,,,B,Existing,22560.0,,$4.62 - 5.65 (Est.),Truck Terminal,,La Crosse/Onalaska,,,Wisconsin South,Tomah,WI,54660,Monroe,,,,N,2009-05-28 00:00:00,1100000.0,100.0,1998.0,,22560.0,,Single,01/20/2010,55081C0263D,55081C,0263D,No,100-year and 500-year Floodplain,44.0146111,-90.4986791,Estes Express Lines,National,grey
485,345 Hollywood Ave,Estes Express Lines,Industrial,3.0,,,C,Existing,40000.0,,$11.27 - 13.78 (Est.),Truck Terminal,"New York, NY",Western Rt 287,,,Brunswick/Piscataway,South Plainfield,NJ,07080-4209,Middlesex,,,,N,,,100.0,,,40000.0,2.5,Single,07/06/2010,34023C0033F,34023C,0033F,Yes,100-year Floodplain,40.562892,-74.411997,Estes Express Lines,National,grey
486,4931 S Hydraulic St,,Industrial,2.0,,,C,Existing,20012.0,,$6.33 - 7.74 (Est.),Truck Terminal,"Wichita, KS",Southeast,,,Southeast,Wichita,KS,67216,Sedgwick,,,,N,2020-12-22 00:00:00,,100.0,1994.0,,20012.0,3.0,Single,12/22/2016,20173C0502G,20173C,0502G,No,100-year and 500-year Floodplain,37.6049089,-97.3170064,Estes Express Lines,National,grey
487,19975 Independence Blvd,Groveland,Industrial,3.0,,,C,Existing,129956.0,,$9.59 - 11.72 (Est.),Truck Terminal,"Orlando, FL",Lake County,Estes Express Lines,,Lake County,Groveland,FL,34736-8536,Lake,,,,N,2016-01-27 00:00:00,4000000.0,100.0,2001.0,,129956.0,3.87,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,28.6356748,-81.833296,Estes Express Lines,National,grey
488,3680 Jeffrey Blvd,,Industrial,2.0,,,C,Existing,16500.0,,$7.18 - 7.73 (Est.),Truck Terminal,"Buffalo, NY",South,,,South,Buffalo,NY,14219-2331,Erie,,,,N,,,100.0,1995.0,,16500.0,,Single,06/07/2019,36029C0337H,36029C,0337H,No,100-year and 500-year Floodplain,42.7852419,-78.8359483,Estes Express Lines,National,grey
489,277 Jessup Rd,,Industrial,2.0,,,C,Existing,10100.0,,$14.67 - 16.42 (Est.),Truck Terminal,"Philadelphia, PA",Gloucester County,"Cushman & Wakefield of Pennsylvania, LLC",,Southern New Jersey,Thorofare,NJ,08086-2129,Gloucester,,,,N,2018-02-02 00:00:00,900000.0,100.0,,,10100.0,7.36,Single,08/17/2016,34015C0079F,34015C,0079F,No,100-year and 500-year Floodplain,39.8393289,-75.1886764,Estes Express Lines,National,grey
490,8700 Joliet Rd,Estes Express Lines,Industrial,3.0,,,C,Existing,96909.0,,$10.43 - 12.75 (Est.),Truck Terminal,"Chicago, IL",North I-55 Corridor,,,SW/I-55 Corridor,McCook,IL,60525-3255,Cook,,,,N,1998-11-06 00:00:00,5800000.0,100.0,1985.0,,96909.0,1.24,Single,08/19/2008,17031C0487J,17031C,0487J,No,100-year and 500-year Floodplain,41.796431,-87.83236,Estes Express Lines,National,grey
491,1112 Key Rd,,Industrial,2.0,,,C,Existing,32616.0,,$6.60 - 8.07 (Est.),Truck Terminal,"Columbia, SC",Southeast Columbia,,,Southeast Columbia,Columbia,SC,29201,Richland,,,,N,,,100.0,1960.0,,32616.0,1.23,Single,12/21/2017,45079C0357L,45079C,0357L,No,100-year and 500-year Floodplain,33.972755,-81.013478,Estes Express Lines,National,grey
492,4885 Keystone Blvd,,Industrial,3.0,,,C,Existing,42510.0,,$6.06 - 7.41 (Est.),Truck Terminal,"Louisville, KY",Outlying Clark County,,,Outlying Clark County,Jeffersonville,IN,47130,Clark,,,,N,,,100.0,2000.0,,42510.0,5.18,Single,04/16/2014,18019C0277E,18019C,0277E,No,100-year and 500-year Floodplain,38.349218,-85.711613,Estes Express Lines,National,grey
493,1650 Kleppe Ln,,Industrial,2.0,,,B,Existing,20325.0,,$10.34 - 11.68 (Est.),Truck Terminal,"Reno, NV",Sparks,,,Sparks,Sparks,NV,89431,Washoe,,,,N,2009-02-20 00:00:00,5000000.0,100.0,1977.0,,20325.0,2.95,Single,03/16/2009,32031C3064G,32031C,3064G,Yes,100-year Floodplain,39.5263363,-119.7109817,Estes Express Lines,National,grey
494,6470 Lake Park Bellville Rd,,Industrial,2.0,,,B,Existing,118000.0,,$5.63 - 6.88 (Est.),Truck Terminal,"Valdosta, GA",Valdosta/Lake Park,CBRE,David Nixon,Georgia South,Lake Park,GA,31636-4030,Lowndes,,,,N,2020-12-22 00:00:00,6000000.0,100.0,1978.0,,118000.0,,Single,06/04/2010,12047C0045C,13185C,0045C,No,100-year and 500-year Floodplain,30.6649934,-83.1868255,Estes Express Lines,National,grey
495,980 Lambert Ln,Formerly Consolidated Freight,Industrial,3.0,,,C,Existing,30000.0,,$10.79 - 13.19 (Est.),Truck Terminal,"Chicago, IL",North Kane/I-90,,,Northwest,Elgin,IL,60120-7522,Cook,,,,N,2003-12-30 00:00:00,2700000.0,100.0,1966.0,,30000.0,1.0,Single,08/19/2008,17031C0163J,17031C,0163J,No,100-year and 500-year Floodplain,42.0152309,-88.2300763,Estes Express Lines,National,grey
496,109 Lehigh Ave,,Industrial,2.0,,,C,Existing,11476.0,,$12.66 - 14.04 (Est.),Truck Terminal,"New York, NY",Ocean County,,,Ocean County,Lakewood,NJ,08701,Ocean,,,,N,,,100.0,,,11476.0,4.36,Multi,09/25/2009,34025C0435F,34029C,0435F,No,100-year and 500-year Floodplain,40.0762387,-74.1716118,Estes Express Lines,National,grey
497,5201 Lone Star Blvd,,Industrial,2.0,,,C,Existing,20608.0,,$5.61 - 6.85 (Est.),Truck Terminal,"Dallas-Fort Worth, TX",Meacham Fld/Fossil Cr,,,North Ft Worth,Fort Worth,TX,76106,Tarrant,,,,N,2013-05-29 00:00:00,,100.0,2005.0,,20608.0,,Single,03/21/2019,48439C0180L,48439C,0180L,No,100-year and 500-year Floodplain,32.837837,-97.341101,Estes Express Lines,National,grey
498,5200 E Loop 820 S,,Industrial,2.0,,,C,Existing,235794.0,,$0.21 - 0.26 (Est.),Truck Terminal,"Dallas-Fort Worth, TX",East Ft Worth,,,South Ft Worth,Fort Worth,TX,76119-6511,Tarrant,,,,N,2022-03-01 00:00:00,,100.0,1973.0,,235794.0,0.5,Single,09/25/2009,48439C0340K,48439C,0340K,Yes,100-year Floodplain,32.682474,-97.243909,Estes Express Lines,National,grey
499,2303 Losee Rd,,Industrial,2.0,,,C,Existing,13261.0,,$12.58 - 15.37 (Est.),Truck Terminal,"Las Vegas, NV",North Las Vegas,,,North Las Vegas,North Las Vegas,NV,89030,Clark,,,,N,2009-03-31 00:00:00,4600000.0,100.0,1983.0,,13261.0,,Single,11/16/2011,32003C2160F,32003C,2160F,No,100-year and 500-year Floodplain,36.20248,-115.139704,Estes Express Lines,National,grey
500,1123 Louisville Rd,,Industrial,2.0,,,C,Existing,13472.0,,$9.52 - 11.64 (Est.),Truck Terminal,"Savannah, GA",Greater Savannah,,,Greater Savannah,Savannah,GA,31415,Chatham,,,,N,,,100.0,1932.0,,13472.0,1.48,Single,10/18/2019,45053C0550D,13051C,0550D,No,100-year and 500-year Floodplain,32.0803988,-81.1194987,Estes Express Lines,National,grey
501,4320 Merchant Rd,,Industrial,2.0,,,C,Existing,27156.0,,$6.20 - 6.81 (Est.),Truck Terminal,"Fort Wayne, IN",North Fort Wayne,,,North Fort Wayne,Fort Wayne,IN,46818,Allen,,,,N,,,100.0,1982.0,,27156.0,3.01,Single,08/03/2009,18003C0165G,18003C,0165G,No,100-year and 500-year Floodplain,41.1377998,-85.2004927,Estes Express Lines,National,grey
502,1313 Meyer Rd,,Industrial,2.0,,,C,Existing,8800.0,,$5.65 - 6.91 (Est.),Truck Terminal,"Fort Wayne, IN",New Haven,Burr & Temkin,David Lane,New Haven,Fort Wayne,IN,46803,Allen,,,,N,,,100.0,1967.0,,8800.0,4.09,Single,08/03/2009,18003C0305G,18003C,0305G,No,100-year and 500-year Floodplain,41.0742501,-85.0774509,Estes Express Lines,National,grey
503,437 Middle St,,Industrial,3.0,,,C,Existing,46156.0,,$9.22 - 10.31 (Est.),Truck Terminal,"Hartford, CT",NW Middlesex/Mid'town,,,Middlesex County,Middletown,CT,06457,Middlesex,,,,N,2009-02-20 00:00:00,5000000.0,100.0,1995.0,,46156.0,3.81,Single,09/26/2008,09003C0650F,09007C,0650F,Yes,100-year Floodplain,41.581975,-72.724313,Estes Express Lines,National,grey
504,5204 N Middlebrook Pike,,Industrial,2.0,,,C,Existing,13739.0,,$6.48 - 7.92 (Est.),Truck Terminal,"Knoxville, TN",Bearden/Papermill/W Town,,,Bearden/Papermill/W Town,Knoxville,TN,37921-5976,Knox,,,,N,2022-11-16 00:00:00,2500000.0,100.0,1974.0,,13739.0,3.64,Single,08/05/2013,47093C0259G,47093C,0259G,No,100-year and 500-year Floodplain,35.9583695,-84.0002013,Estes Express Lines,National,grey
505,66 Milens Rd,,Industrial,3.0,,,B,Existing,116810.0,,$6.47 - 7.91 (Est.),Truck Terminal,"Buffalo, NY",North,,,North,Tonawanda,NY,14150,Erie,,,,N,2024-02-01 00:00:00,18021583.0,100.0,1966.0,,116810.0,1.71,Single,06/07/2019,36029C0182H,36029C,0182H,No,100-year and 500-year Floodplain,42.990055,-78.8912851,Estes Express Lines,National,grey
